jobID,appName,start,end,duration (s)
0.0,rodinia_dwt2d,1538524662.192897,1538524666.30345,4.110553026199341
1.0,rodinia_gaussian,1538524662.19422,1538524665.840871,3.646651029586792
2.0,cudasdk_simpleCUFFTcallback,1538524662.19552,1538524666.937333,4.7418131828308105
3.0,rodinia_heartwall,1538524662.197986,1538524666.555884,4.357897996902466
4.0,cudasdk_interval,1538524662.198127,1538524667.856038,5.657911062240601
5.0,cudasdk_segmentationTreeThrust,1538524662.20102,1538524670.00745,7.806430101394653
6.0,cudasdk_scalarProd,1538524662.201497,1538524666.233127,4.031630039215088
7.0,cudasdk_BlackScholes,1538524662.203389,1538524667.423266,5.219877004623413
8.0,cudasdk_fastWalshTransform,1538524662.206624,1538524669.858807,7.6521830558776855
9.0,cudasdk_batchCUBLAS,1538524665.853685,1538524668.329801,2.476116180419922
10.0,cudasdk_convolutionSeparable,1538524666.236077,1538524670.685864,4.449786901473999
11.0,poly_gemm,1538524666.306895,1538524670.014102,3.707206964492798
12.0,cudasdk_quasirandomGenerator,1538524666.558736,1538524669.909131,3.3503949642181396
13.0,cudasdk_convolutionTexture,1538524666.940102,1538524670.404446,3.464343786239624
14.0,cudasdk_convolutionFFT2D,1538524667.426344,1538524674.100442,6.674098014831543
15.0,cudasdk_transpose,1538524667.869266,1538524670.049215,2.1799490451812744
16.0,cudasdk_dct8x8,1538524668.332825,1538524670.849891,2.51706600189209
17.0,cudasdk_mergeSort,1538524669.861834,1538524673.334698,3.4728639125823975
18.0,parboil_sgemm,1538524669.913227,1538524673.075678,3.1624510288238525
19.0,rodinia_needle,1538524670.010369,1538524673.314165,3.3037960529327393
20.0,cudasdk_MCEstimatePiInlineP,1538524670.017233,1538524673.308433,3.2912001609802246
21.0,poly_atax,1538524670.051742,1538524673.47932,3.4275779724121094
22.0,parboil_stencil,1538524670.40795,1538524673.513777,3.1058270931243896
23.0,cudasdk_SobolQRNG,1538524670.688489,1538524674.054725,3.3662359714508057
24.0,lonestar_bh,1538524670.852472,1538524675.290489,4.438016891479492
25.0,cudasdk_scan,1538524673.078405,1538524678.533384,5.454979181289673
26.0,parboil_cutcp,1538524673.31109,1538524676.530914,3.2198240756988525
27.0,lonestar_mst,1538524673.317362,1538524676.491224,3.1738619804382324
28.0,cudasdk_MCEstimatePiInlineQ,1538524673.338184,1538524676.487294,3.1491098403930664
29.0,shoc_lev1reduction,1538524673.48199,1538524676.820798,3.3388078212738037
30.0,poly_3mm,1538524673.516684,1538524679.531354,6.014669895172119
31.0,lonestar_sssp,1538524674.057362,1538524679.568876,5.511513948440552
32.0,poly_syrk,1538524674.103106,1538524681.993037,7.889930963516235
33.0,cudasdk_MCSingleAsianOptionP,1538524675.293154,1538524677.97113,2.67797589302063
34.0,cudasdk_c++11Cuda,1538524676.490282,1538524678.950828,2.4605460166931152
35.0,cudasdk_MCEstimatePiQ,1538524676.493807,1538524678.937462,2.443655014038086
36.0,cudasdk_sortingNetworks,1538524676.533693,1538524685.245235,8.711541891098022
37.0,parboil_mriq,1538524676.824981,1538524679.064492,2.239511013031006
38.0,rodinia_backprop,1538524677.974756,1538524680.227822,2.253066062927246
39.0,cudasdk_dwtHaar1D,1538524678.536436,1538524680.80915,2.2727138996124268
40.0,cudasdk_vectorAdd,1538524678.940478,1538524681.415389,2.4749109745025635
41.0,poly_syr2k,1538524678.953813,1538524756.779782,77.82596898078918
