jobID,appName,start,end,duration (s)
0.0,cudasdk_SobolQRNG,1537465595.540175,1537465602.279848,6.739673137664795
1.0,poly_syr2k,1537465595.541081,1537465679.366261,83.82518005371094
2.0,rodinia_lavaMD,1537465595.542854,1537465602.287917,6.745062828063965
3.0,lonestar_mst,1537465595.545966,1537465602.28746,6.741494178771973
4.0,shoc_lev1md5hash,1537465595.547895,1537465602.290223,6.742327928543091
5.0,shoc_lev1BFS,1537465595.548657,1537465603.113419,7.564762115478516
6.0,rodinia_gaussian,1537465595.550796,1537465602.282436,6.731639862060547
7.0,cudasdk_simpleCUFFTcallback,1537465595.552998,1537465603.281234,7.728235960006714
8.0,cudasdk_concurrentKernels,1537465595.556822,1537465602.286492,6.72967004776001
9.0,rodinia_needle,1537465595.558282,1537465602.290978,6.732696056365967
10.0,cudasdk_boxFilterNPP,1537465595.561156,1537465602.290541,6.729384899139404
11.0,parboil_sgemm,1537465595.565035,1537465602.289621,6.724586009979248
12.0,cudasdk_dwtHaar1D,1537465595.566326,1537465602.287869,6.721543073654175
13.0,shoc_lev1reduction,1537465595.568901,1537465602.498256,6.929354906082153
14.0,cudasdk_vectorAdd,1537465595.5712,1537465602.288076,6.716876029968262
15.0,cudasdk_lineOfSight,1537465595.57356,1537465602.380253,6.806693077087402
16.0,cudasdk_simpleCUBLAS,1537465602.282939,1537465609.008208,6.725269079208374
17.0,rodinia_lud,1537465602.285789,1537465608.482113,6.196323871612549
18.0,poly_3dconv,1537465602.29025,1537465609.917363,7.627112865447998
19.0,parboil_bfs,1537465602.292829,1537465608.788394,6.495564937591553
20.0,shoc_lev1fft,1537465602.296107,1537465608.652705,6.356597900390625
21.0,shoc_lev1GEMM,1537465602.300003,1537465609.921175,7.621171951293945
22.0,cudasdk_matrixMul,1537465602.302262,1537465608.632717,6.3304548263549805
23.0,cudasdk_MCEstimatePiQ,1537465602.30498,1537465608.713052,6.408071994781494
24.0,cudasdk_interval,1537465602.309696,1537465610.22576,7.916064023971558
25.0,parboil_cutcp,1537465602.312381,1537465608.652704,6.340322971343994
26.0,cudasdk_quasirandomGenerator,1537465602.31708,1537465608.959072,6.641992092132568
27.0,parboil_stencil,1537465602.384418,1537465608.653151,6.268733024597168
28.0,cudasdk_eigenvalues,1537465602.501268,1537465610.087151,7.585883140563965
29.0,cudasdk_c++11Cuda,1537465603.116224,1537465609.783599,6.667374849319458
30.0,rodinia_hotspot,1537465603.283928,1537465609.965282,6.68135404586792
31.0,cudasdk_stereoDisparity,1537465608.486841,1537465651.836408,43.34956693649292
32.0,cudasdk_dct8x8,1537465608.638592,1537465614.747199,6.108607053756714
33.0,cudasdk_threadFenceReduction,1537465608.677497,1537465614.410671,5.733174085617065
34.0,parboil_mriq,1537465608.65887,1537465614.273348,5.61447811126709
35.0,cudasdk_batchCUBLAS,1537465608.662239,1537465615.00143,6.33919095993042
36.0,shoc_lev1sort,1537465608.727136,1537465614.552494,5.825358152389526
37.0,rodinia_dwt2d,1537465608.792228,1537465614.730084,5.937855958938599
38.0,cudasdk_transpose,1537465608.977641,1537465614.90699,5.929348945617676
39.0,cudasdk_scalarProd,1537465609.033577,1537465614.891594,5.8580169677734375
40.0,rodinia_pathfinder,1537465609.786652,1537465615.808703,6.022050857543945
41.0,cudasdk_dxtc,1537465609.920088,1537465615.737569,5.81748104095459
42.0,cudasdk_MCEstimatePiP,1537465609.924302,1537465615.872814,5.948511838912964
43.0,poly_gemm,1537465609.968318,1537465616.893723,6.925405025482178
44.0,cudasdk_sortingNetworks,1537465610.089827,1537465623.933413,13.843585968017578
45.0,cudasdk_shflscan,1537465610.228494,1537465616.063358,5.834864139556885
46.0,rodinia_backprop,1537465614.276871,1537465619.245909,4.969038009643555
47.0,cudasdk_radixSortThrust,1537465614.413345,1537465626.343455,11.930109977722168
48.0,cudasdk_binomialOptions,1537465614.556684,1537465653.020893,38.46420907974243
49.0,poly_3mm,1537465614.732796,1537465625.147199,10.414402961730957
50.0,rodinia_b+tree,1537465614.749954,1537465622.201155,7.45120096206665
51.0,cudasdk_convolutionTexture,1537465614.894571,1537465621.467227,6.572655916213989
52.0,cudasdk_scan,1537465614.912303,1537465623.432151,8.519848108291626
53.0,cudasdk_segmentationTreeThrust,1537465615.004878,1537465627.609244,12.604366064071655
54.0,cudasdk_convolutionFFT2D,1537465615.740714,1537465629.40029,13.659575939178467
