jobID,appName,start,end,duration (s)
0.0,cudasdk_fastWalshTransform,1538932817.92891,1538932828.390965,10.462054967880249
1.0,poly_correlation,1538932817.930282,1538932882.722473,64.79219079017639
2.0,rodinia_b+tree,1538932817.931968,1538932824.071137,6.139168977737427
3.0,lonestar_dmr,1538932817.934497,1538932835.544751,17.61025381088257
4.0,cudasdk_stereoDisparity,1538932817.937439,1538932863.035394,45.097954988479614
5.0,parboil_lbm,1538932817.93652,1538932827.474628,9.538107872009277
6.0,poly_syrk,1538932817.939129,1538932832.818299,14.879169940948486
7.0,cudasdk_convolutionFFT2D,1538932817.940613,1538932832.245077,14.304463863372803
8.0,cudasdk_convolutionTexture,1538932817.944427,1538932824.245228,6.300801038742065
9.0,poly_2dconv,1538932817.947801,1538932824.958017,7.010215997695923
10.0,shoc_lev1fft,1538932817.948703,1538932822.819047,4.870343923568726
11.0,poly_syr2k,1538932817.950997,1538932903.673134,85.72213697433472
12.0,cudasdk_sortingNetworks,1538932822.838345,1538932834.759965,11.921619892120361
13.0,cudasdk_BlackScholes,1538932824.105636,1538932827.92381,3.818174123764038
14.0,rodinia_hybridsort,1538932824.261592,1538932827.345675,3.084083080291748
15.0,cudasdk_dxtc,1538932824.969616,1538932826.746332,1.7767159938812256
16.0,cudasdk_convolutionSeparable,1538932826.761671,1538932831.681162,4.9194910526275635
17.0,poly_fdtd2d,1538932827.358385,1538932882.180452,54.82206702232361
18.0,shoc_lev1md5hash,1538932827.493625,1538932829.238444,1.744819164276123
19.0,cudasdk_mergeSort,1538932827.949617,1538932830.2491,2.299483060836792
20.0,poly_gesummv,1538932828.413615,1538932830.885963,2.4723479747772217
21.0,poly_3dconv,1538932829.253647,1538932833.462148,4.208500862121582
22.0,poly_bicg,1538932830.261702,1538932832.518604,2.256901979446411
23.0,cudasdk_c++11Cuda,1538932830.905503,1538932832.522555,1.6170520782470703
24.0,cudasdk_quasirandomGenerator,1538932831.690577,1538932834.317989,2.6274120807647705
25.0,parboil_cutcp,1538932832.257652,1538932834.309349,2.051697015762329
26.0,lonestar_sssp,1538932832.541587,1538932836.060808,3.5192208290100098
27.0,cudasdk_boxFilterNPP,1538932832.841806,1538932834.765657,1.9238510131835938
28.0,cudasdk_simpleCUFFTcallback,1538932833.477662,1538932836.231262,2.7535998821258545
29.0,cudasdk_segmentationTreeThrust,1538932834.329604,1538932840.961432,6.63182806968689
30.0,cudasdk_scalarProd,1538932834.341637,1538932836.633168,2.2915310859680176
31.0,rodinia_backprop,1538932834.773808,1538932837.295107,2.521298885345459
32.0,cudasdk_dwtHaar1D,1538932834.785648,1538932837.239592,2.453943967819214
33.0,rodinia_lud,1538932835.557724,1538932838.13829,2.580565929412842
34.0,rodinia_heartwall,1538932836.063711,1538932838.935849,2.872138023376465
35.0,poly_covariance,1538932836.235191,1538932889.435399,53.20020794868469
36.0,poly_atax,1538932836.636665,1538932839.678432,3.041766881942749
37.0,cudasdk_MCEstimatePiInlineQ,1538932837.244211,1538932839.699343,2.455132007598877
38.0,cudasdk_MCEstimatePiQ,1538932837.298254,1538932839.717642,2.4193880558013916
39.0,cudasdk_shflscan,1538932838.146259,1538932840.345088,2.198828935623169
40.0,rodinia_lavaMD,1538932838.961708,1538932841.001753,2.0400450229644775
41.0,cudasdk_dct8x8,1538932839.69785,1538932842.744785,3.0469350814819336
42.0,lonestar_bh,1538932839.713646,1538932843.583834,3.870187997817993
43.0,cudasdk_MCEstimatePiP,1538932839.739453,1538932842.136114,2.396660804748535
44.0,parboil_mriq,1538932840.369659,1538932842.539699,2.1700401306152344
45.0,cudasdk_eigenvalues,1538932840.971474,1538932844.403957,3.432482957839966
