jobID,appName,start,end,duration (s)
0.0,cudasdk_fastWalshTransform,1538949288.379712,1538949295.585952,7.206239938735962
1.0,poly_3dconv,1538949288.38113,1538949293.300995,4.919865131378174
2.0,poly_correlation,1538949288.383508,1538949352.986961,64.6034529209137
3.0,rodinia_b+tree,1538949288.383583,1538949292.946479,4.562896013259888
4.0,lonestar_dmr,1538949288.385137,1538949301.131432,12.746294975280762
5.0,cudasdk_dwtHaar1D,1538949288.387384,1538949291.30232,2.914936065673828
6.0,cudasdk_stereoDisparity,1538949288.38866,1538949328.566263,40.177603006362915
7.0,parboil_lbm,1538949288.392253,1538949295.585307,7.193053960800171
8.0,poly_syrk,1538949291.307187,1538949300.260208,8.953020811080933
9.0,poly_covariance,1538949292.961608,1538949354.224706,61.2630980014801
10.0,cudasdk_convolutionFFT2D,1538949293.304711,1538949300.834495,7.5297839641571045
11.0,cudasdk_dct8x8,1538949295.588501,1538949297.297107,1.7086060047149658
12.0,cudasdk_convolutionTexture,1538949295.592035,1538949297.758269,2.166234016418457
13.0,poly_2dconv,1538949297.313654,1538949299.961828,2.6481740474700928
14.0,shoc_lev1fft,1538949297.773769,1538949299.089048,1.3152790069580078
15.0,poly_syr2k,1538949299.10164,1538949378.580713,79.47907304763794
16.0,cudasdk_sortingNetworks,1538949299.969108,1538949308.080734,8.111625909805298
17.0,cudasdk_BlackScholes,1538949300.265125,1538949303.010666,2.7455408573150635
18.0,cudasdk_binomialOptions,1538949300.851495,1538949334.396035,33.54453992843628
19.0,cudasdk_convolutionSeparable,1538949301.14123,1538949304.982902,3.841671943664551
20.0,poly_fdtd2d,1538949303.04165,1538949357.132544,54.09089398384094
21.0,rodinia_dwt2d,1538949305.001665,1538949306.123472,1.1218068599700928
22.0,shoc_lev1GEMM,1538949306.14168,1538949307.756395,1.6147150993347168
23.0,shoc_lev1md5hash,1538949307.76967,1538949308.671304,0.9016339778900146
24.0,shoc_lev1BFS,1538949308.09365,1538949308.929827,0.836176872253418
25.0,cudasdk_FDTD3d,1538949308.697622,1538949333.106418,24.408795833587646
26.0,cudasdk_scan,1538949308.94563,1538949312.841759,3.8961288928985596
27.0,poly_gesummv,1538949312.861668,1538949314.641685,1.7800168991088867
28.0,poly_bicg,1538949314.66168,1538949316.314514,1.6528339385986328
29.0,cudasdk_c++11Cuda,1538949316.333651,1538949317.645197,1.3115458488464355
30.0,cudasdk_quasirandomGenerator,1538949317.661741,1538949319.828354,2.1666128635406494
31.0,parboil_cutcp,1538949319.841732,1538949321.355623,1.5138909816741943
32.0,lonestar_sssp,1538949321.37366,1538949324.07016,2.696499824523926
33.0,cudasdk_boxFilterNPP,1538949324.10208,1538949325.273652,1.171571969985962
34.0,cudasdk_simpleCUFFTcallback,1538949325.285649,1538949327.357757,2.072108030319214
35.0,cudasdk_segmentationTreeThrust,1538949327.373734,1538949332.916337,5.542603015899658
36.0,cudasdk_scalarProd,1538949328.572253,1538949329.776022,1.2037689685821533
37.0,rodinia_backprop,1538949329.789744,1538949331.199991,1.4102470874786377
38.0,rodinia_lud,1538949331.221666,1538949332.388565,1.1668989658355713
39.0,rodinia_heartwall,1538949332.405652,1538949333.556116,1.1504640579223633
40.0,poly_atax,1538949332.925297,1538949334.532563,1.6072659492492676
41.0,cudasdk_MCEstimatePiInlineQ,1538949333.110582,1538949334.243555,1.1329729557037354
42.0,cudasdk_MCEstimatePiQ,1538949333.560327,1538949334.850911,1.290583848953247
43.0,cudasdk_shflscan,1538949334.256131,1538949335.795265,1.5391340255737305
44.0,rodinia_lavaMD,1538949334.413718,1538949336.030403,1.616684913635254
45.0,lonestar_bh,1538949334.536258,1538949337.781212,3.2449541091918945
46.0,cudasdk_MCEstimatePiP,1538949334.853798,1538949336.338091,1.484292984008789
47.0,parboil_mriq,1538949335.817696,1538949337.05876,1.2410638332366943
48.0,cudasdk_eigenvalues,1538949336.038452,1538949338.613983,2.575531005859375
49.0,cudasdk_SobolQRNG,1538949336.341812,1538949337.813648,1.4718360900878906
50.0,shoc_lev1sort,1538949337.062398,1538949338.172987,1.1105890274047852
51.0,poly_gemm,1538949337.784829,1538949340.410075,2.625246047973633
52.0,shoc_lev1reduction,1538949337.81752,1538949339.132554,1.3150341510772705
53.0,rodinia_hybridsort,1538949338.177743,1538949340.094251,1.9165079593658447
54.0,rodinia_needle,1538949338.616799,1538949340.094127,1.477327823638916
55.0,cudasdk_simpleCUBLAS,1538949339.145152,1538949340.758465,1.6133129596710205
56.0,cudasdk_radixSortThrust,1538949340.098196,1538949344.990987,4.892791032791138
57.0,cudasdk_MCEstimatePiInlineP,1538949340.099808,1538949341.190496,1.0906879901885986
58.0,rodinia_hotspot,1538949340.416325,1538949342.112949,1.6966238021850586
59.0,cudasdk_matrixMul,1538949340.781692,1538949342.409383,1.6276910305023193
60.0,parboil_bfs,1538949341.193338,1538949342.99902,1.8056821823120117
61.0,rodinia_gaussian,1538949342.137719,1538949343.513388,1.375669002532959
62.0,rodinia_pathfinder,1538949342.412822,1538949344.116851,1.7040290832519531
63.0,cudasdk_dxtc,1538949343.015081,1538949344.506875,1.4917941093444824
64.0,cudasdk_mergeSort,1538949343.519472,1538949345.186796,1.6673240661621094
65.0,cudasdk_concurrentKernels,1538949344.124031,1538949345.307054,1.1830229759216309
66.0,cudasdk_reduction,1538949344.522913,1538949347.035382,2.5124690532684326
67.0,cudasdk_interval,1538949344.995,1538949348.211015,3.216015100479126
68.0,parboil_stencil,1538949345.190628,1538949346.74981,1.5591819286346436
