jobID,appName,start,end,duration (s)
0.0,cudasdk_fastWalshTransform,1537553112.322032,1537553119.647966,7.325933933258057
1.0,poly_syr2k,1537553112.323217,1537553192.857574,80.53435707092285
2.0,poly_gemm,1537553112.324872,1537553117.057249,4.732377052307129
3.0,cudasdk_binomialOptions,1537553112.327171,1537553146.189987,33.862815856933594
4.0,rodinia_gaussian,1537553112.328315,1537553115.93425,3.6059350967407227
5.0,parboil_bfs,1537553112.330653,1537553116.177443,3.846790075302124
6.0,rodinia_lavaMD,1537553112.331678,1537553115.955789,3.6241111755371094
7.0,shoc_lev1BFS,1537553112.333504,1537553116.326479,3.9929749965667725
8.0,cudasdk_simpleCUFFTcallback,1537553112.335678,1537553116.710014,4.374336004257202
9.0,cudasdk_concurrentKernels,1537553115.945433,1537553117.77679,1.8313570022583008
10.0,cudasdk_c++11Cuda,1537553115.964017,1537553118.197614,2.2335970401763916
11.0,rodinia_needle,1537553116.18351,1537553118.522044,2.338533878326416
12.0,shoc_lev1md5hash,1537553116.330075,1537553118.637378,2.307302951812744
13.0,cudasdk_dwtHaar1D,1537553116.714183,1537553118.95782,2.2436368465423584
14.0,poly_3mm,1537553117.060372,1537553122.452353,5.391980886459351
15.0,cudasdk_eigenvalues,1537553117.779778,1537553120.973346,3.193567991256714
16.0,cudasdk_interval,1537553118.201891,1537553122.201309,3.999418020248413
17.0,parboil_sgemm,1537553118.52557,1537553120.612631,2.0870611667633057
18.0,lonestar_mst,1537553118.640707,1537553120.619441,1.978734016418457
19.0,cudasdk_boxFilterNPP,1537553118.961431,1537553120.94929,1.9878590106964111
20.0,cudasdk_threadFenceReduction,1537553119.651676,1537553121.391201,1.7395250797271729
21.0,parboil_cutcp,1537553120.630425,1537553122.802937,2.1725120544433594
22.0,rodinia_lud,1537553120.638438,1537553122.793054,2.154616117477417
23.0,parboil_stencil,1537553120.95329,1537553123.205972,2.2526819705963135
24.0,cudasdk_lineOfSight,1537553120.977196,1537553123.305002,2.327805995941162
25.0,cudasdk_scalarProd,1537553121.393876,1537553123.766409,2.372532844543457
26.0,rodinia_hotspot,1537553122.204095,1537553125.07675,2.872655153274536
27.0,poly_syrk,1537553122.455164,1537553130.471657,8.016493082046509
28.0,cudasdk_vectorAdd,1537553122.796037,1537553125.240934,2.444896936416626
29.0,cudasdk_simpleCUBLAS,1537553122.8059,1537553125.838678,3.032777786254883
30.0,cudasdk_stereoDisparity,1537553123.209261,1537553160.823662,37.61440110206604
31.0,shoc_lev1reduction,1537553123.308201,1537553125.838673,2.5304720401763916
32.0,cudasdk_reduction,1537553123.769528,1537553127.671788,3.9022600650787354
33.0,shoc_lev1GEMM,1537553125.081196,1537553127.371569,2.290372848510742
34.0,cudasdk_MCEstimatePiQ,1537553125.254398,1537553127.199406,1.9450078010559082
35.0,parboil_mriq,1537553125.853459,1537553127.676719,1.8232600688934326
36.0,poly_3dconv,1537553125.852859,1537553129.410748,3.557888984680176
