jobID,appName,start,end,duration (s)
0.0,cudasdk_SobolQRNG,1537554007.321992,1537554012.231032,4.9090399742126465
1.0,poly_syr2k,1537554007.322924,1537554088.616625,81.293701171875
2.0,parboil_bfs,1537554007.32471,1537554012.821724,5.497014045715332
3.0,rodinia_gaussian,1537554007.326752,1537554012.231032,4.904279947280884
4.0,cudasdk_binomialOptions,1537554007.328374,1537554043.643786,36.31541204452515
5.0,poly_gemm,1537554007.331188,1537554013.483613,6.152425050735474
6.0,rodinia_lavaMD,1537554007.332971,1537554012.480939,5.14796781539917
7.0,shoc_lev1BFS,1537554007.335004,1537554013.448449,6.113444805145264
8.0,cudasdk_simpleCUFFTcallback,1537554007.337786,1537554013.645146,6.307359933853149
9.0,cudasdk_concurrentKernels,1537554007.340262,1537554012.435615,5.095353126525879
10.0,rodinia_needle,1537554007.344635,1537554012.692121,5.3474860191345215
11.0,cudasdk_c++11Cuda,1537554007.347247,1537554012.779492,5.4322450160980225
12.0,shoc_lev1md5hash,1537554012.261516,1537554015.808775,3.5472588539123535
13.0,cudasdk_dwtHaar1D,1537554012.253618,1537554015.713903,3.460284948348999
14.0,cudasdk_eigenvalues,1537554012.455849,1537554017.001131,4.5452821254730225
15.0,cudasdk_interval,1537554012.489463,1537554018.068054,5.5785908699035645
16.0,parboil_sgemm,1537554012.695263,1537554016.492604,3.7973411083221436
17.0,cudasdk_threadFenceReduction,1537554012.782855,1537554016.565881,3.7830259799957275
18.0,lonestar_mst,1537554012.825005,1537554016.681416,3.8564109802246094
19.0,cudasdk_boxFilterNPP,1537554013.451505,1537554017.215398,3.7638931274414062
20.0,poly_3mm,1537554013.486574,1537554020.105811,6.619237184524536
21.0,parboil_cutcp,1537554013.647754,1537554017.467633,3.8198790550231934
22.0,parboil_stencil,1537554015.7175,1537554018.944592,3.2270920276641846
23.0,cudasdk_scalarProd,1537554015.812929,1537554018.973216,3.1602871417999268
24.0,rodinia_lud,1537554016.495771,1537554019.725194,3.2294230461120605
25.0,rodinia_hotspot,1537554016.568917,1537554020.230309,3.6613919734954834
26.0,cudasdk_lineOfSight,1537554016.684571,1537554020.106736,3.4221649169921875
27.0,cudasdk_stereoDisparity,1537554017.005847,1537554055.411625,38.40577793121338
28.0,cudasdk_vectorAdd,1537554017.219287,1537554020.617915,3.398627996444702
29.0,shoc_lev1reduction,1537554017.473427,1537554021.131057,3.65762996673584
30.0,cudasdk_simpleCUBLAS,1537554018.07259,1537554022.153765,4.081174850463867
31.0,shoc_lev1GEMM,1537554018.947678,1537554023.246988,4.299309968948364
32.0,cudasdk_reduction,1537554018.977065,1537554025.084535,6.107469797134399
33.0,cudasdk_dxtc,1537554019.729296,1537554023.351368,3.6220719814300537
34.0,poly_syrk,1537554020.110208,1537554030.07848,9.968271970748901
35.0,cudasdk_MCEstimatePiQ,1537554020.112392,1537554023.924315,3.811923027038574
36.0,poly_3dconv,1537554020.233482,1537554025.691484,5.458002090454102
37.0,parboil_mriq,1537554020.620635,1537554024.392723,3.772088050842285
38.0,poly_atax,1537554021.14149,1537554025.356711,4.215220928192139
39.0,poly_mvt,1537554022.157252,1537554026.280661,4.123409032821655
40.0,cudasdk_batchCUBLAS,1537554023.249861,1537554027.360933,4.111072063446045
41.0,poly_bicg,1537554023.356077,1537554026.70917,3.353093147277832
42.0,poly_gesummv,1537554023.927251,1537554027.402736,3.475484848022461
43.0,rodinia_b+tree,1537554024.397586,1537554029.362888,4.965301990509033
44.0,lonestar_bh,1537554025.088782,1537554029.40201,4.313227891921997
45.0,rodinia_pathfinder,1537554025.359656,1537554028.408362,3.048705816268921
46.0,cudasdk_matrixMul,1537554025.697373,1537554028.19944,2.5020670890808105
47.0,shoc_lev1fft,1537554026.308395,1537554029.335059,3.0266640186309814
48.0,cudasdk_MCEstimatePiP,1537554026.730157,1537554029.609678,2.879521131515503
49.0,shoc_lev1sort,1537554027.377616,1537554030.502516,3.1249001026153564
50.0,cudasdk_quasirandomGenerator,1537554027.421597,1537554031.24486,3.823262929916382
51.0,lonestar_sssp,1537554028.202858,1537554032.708812,4.505954027175903
52.0,rodinia_backprop,1537554028.412483,1537554031.651877,3.239393949508667
53.0,cudasdk_sortingNetworks,1537554029.339125,1537554040.962611,11.623486042022705
54.0,rodinia_dwt2d,1537554029.367391,1537554032.924227,3.556835889816284
55.0,cudasdk_transpose,1537554029.405113,1537554033.011327,3.6062140464782715
56.0,cudasdk_radixSortThrust,1537554029.612518,1537554038.086336,8.473817825317383
57.0,cudasdk_convolutionTexture,1537554030.097592,1537554034.567111,4.4695188999176025
58.0,cudasdk_dct8x8,1537554030.505881,1537554034.643408,4.137526988983154
59.0,cudasdk_shflscan,1537554031.247828,1537554034.647316,3.3994879722595215
60.0,poly_fdtd2d,1537554031.655804,1537554079.097976,47.442172050476074
61.0,lonestar_dmr,1537554032.712344,1537554047.357967,14.645622968673706
62.0,cudasdk_convolutionFFT2D,1537554032.927105,1537554045.180156,12.253051042556763
63.0,cudasdk_scan,1537554033.023526,1537554039.872932,6.849406003952026
64.0,cudasdk_BlackScholes,1537554034.569825,1537554039.567058,4.997233152389526
65.0,cudasdk_fastWalshTransform,1537554034.662378,1537554044.484235,9.82185697555542
66.0,cudasdk_segmentationTreeThrust,1537554034.661567,1537554043.61109,8.949522972106934
67.0,cudasdk_convolutionSeparable,1537554038.121538,1537554043.256764,5.135226011276245
68.0,cudasdk_mergeSort,1537554039.585578,1537554041.587093,2.0015151500701904
69.0,poly_2dconv,1537554039.889545,1537554043.465065,3.5755200386047363
70.0,poly_covariance,1537554040.985601,1537554086.345524,45.359923124313354
71.0,poly_correlation,1537554041.608856,1537554086.316372,44.70751595497131
72.0,rodinia_heartwall,1537554043.277597,1537554045.736669,2.4590721130371094
73.0,rodinia_hybridsort,1537554043.485577,1537554046.335298,2.8497209548950195
74.0,cudasdk_MCEstimatePiInlineQ,1537554043.637576,1537554045.740428,2.1028518676757812
75.0,parboil_lbm,1537554043.659588,1537554049.230655,5.571066856384277
76.0,cudasdk_FDTD3d,1537554044.505598,1537554063.670984,19.165385961532593
77.0,cudasdk_MCSingleAsianOptionP,1537554045.201759,1537554047.488939,2.287179946899414
78.0,cudasdk_MCEstimatePiInlineP,1537554045.739691,1537554047.506786,1.7670950889587402
