jobID,appName,start,end,duration (s)
0.0,cudasdk_BlackScholes,1538507448.584919,1538507452.473926,3.889007091522217
1.0,rodinia_dwt2d,1538507448.586164,1538507451.394177,2.8080129623413086
2.0,rodinia_gaussian,1538507448.587315,1538507451.092963,2.505647897720337
3.0,cudasdk_simpleCUFFTcallback,1538507448.588477,1538507452.029331,3.440854072570801
4.0,rodinia_heartwall,1538507448.589954,1538507451.731072,3.141118049621582
5.0,cudasdk_interval,1538507448.592348,1538507453.043377,4.451028823852539
6.0,cudasdk_segmentationTreeThrust,1538507451.096116,1538507455.694211,4.598094940185547
7.0,cudasdk_scalarProd,1538507451.397978,1538507452.556361,1.1583828926086426
8.0,cudasdk_fastWalshTransform,1538507451.734471,1538507456.722632,4.988160848617554
9.0,cudasdk_batchCUBLAS,1538507452.033001,1538507453.965949,1.932948112487793
10.0,cudasdk_convolutionSeparable,1538507452.476331,1538507456.181963,3.705631971359253
11.0,poly_gemm,1538507452.559458,1538507455.208268,2.6488099098205566
12.0,cudasdk_quasirandomGenerator,1538507453.046124,1538507455.055776,2.0096518993377686
13.0,cudasdk_convolutionTexture,1538507453.969028,1538507455.682366,1.7133378982543945
14.0,cudasdk_convolutionFFT2D,1538507455.058387,1538507460.066152,5.007765054702759
15.0,cudasdk_transpose,1538507455.211002,1538507456.712277,1.501274824142456
16.0,cudasdk_dct8x8,1538507455.685204,1538507457.513675,1.8284709453582764
17.0,cudasdk_mergeSort,1538507455.698165,1538507457.512863,1.8146979808807373
18.0,cudasdk_sortingNetworks,1538507456.185134,1538507463.371945,7.1868109703063965
19.0,parboil_sgemm,1538507456.714949,1538507458.309893,1.5949440002441406
20.0,rodinia_needle,1538507456.727734,1538507458.406627,1.6788928508758545
21.0,cudasdk_MCEstimatePiInlineP,1538507457.515573,1538507458.804134,1.2885608673095703
22.0,poly_atax,1538507457.518476,1538507459.299144,1.780668020248413
23.0,parboil_stencil,1538507458.312321,1538507459.761177,1.4488561153411865
24.0,cudasdk_SobolQRNG,1538507458.409357,1538507459.991078,1.5817208290100098
25.0,lonestar_bh,1538507458.807224,1538507461.893168,3.0859439373016357
26.0,cudasdk_scan,1538507459.30186,1538507463.132504,3.830643892288208
27.0,parboil_cutcp,1538507459.764549,1538507461.288626,1.5240769386291504
28.0,lonestar_mst,1538507459.994243,1538507461.45023,1.4559869766235352
29.0,cudasdk_MCEstimatePiInlineQ,1538507460.069243,1538507461.416442,1.3471989631652832
30.0,shoc_lev1reduction,1538507461.305634,1538507463.072352,1.7667179107666016
31.0,poly_3mm,1538507461.419943,1538507465.187833,3.767889976501465
32.0,lonestar_sssp,1538507461.453176,1538507464.411681,2.9585049152374268
33.0,cudasdk_MCSingleAsianOptionP,1538507461.896027,1538507463.3735,1.4774730205535889
34.0,cudasdk_c++11Cuda,1538507463.077189,1538507464.661466,1.5842769145965576
35.0,cudasdk_MCEstimatePiQ,1538507463.135246,1538507464.671702,1.5364558696746826
36.0,shoc_lev1md5hash,1538507463.375441,1538507465.054422,1.678980827331543
37.0,poly_syrk,1538507463.37632,1538507469.175869,5.799549102783203
38.0,parboil_mriq,1538507464.414119,1538507466.010731,1.5966119766235352
39.0,rodinia_backprop,1538507464.664206,1538507466.463674,1.7994680404663086
40.0,cudasdk_dwtHaar1D,1538507464.677619,1538507466.438434,1.760814905166626
41.0,cudasdk_binomialOptions,1538507465.056849,1538507495.34738,30.290530920028687
42.0,cudasdk_vectorAdd,1538507465.190308,1538507466.900255,1.709946870803833
43.0,poly_syr2k,1538507466.013268,1538507544.486356,78.47308802604675
44.0,shoc_lev1fft,1538507466.440753,1538507468.160872,1.7201189994812012
45.0,rodinia_lavaMD,1538507466.466008,1538507468.160423,1.6944150924682617
46.0,poly_correlation,1538507466.904735,1538507526.746853,59.84211802482605
47.0,rodinia_hotspot,1538507468.163327,1538507469.354608,1.1912810802459717
48.0,cudasdk_shflscan,1538507468.164675,1538507468.958901,0.7942259311676025
49.0,poly_fdtd2d,1538507468.962078,1538507524.304949,55.34287095069885
50.0,poly_bicg,1538507469.179363,1538507470.63128,1.4519169330596924
51.0,rodinia_hybridsort,1538507469.35852,1538507471.049915,1.6913950443267822
52.0,cudasdk_reduction,1538507470.634904,1538507472.384087,1.749183177947998
53.0,poly_covariance,1538507471.066829,1538507528.685989,57.61915993690491
54.0,poly_mvt,1538507472.388232,1538507473.764297,1.3760650157928467
55.0,cudasdk_FDTD3d,1538507473.767172,1538507495.592215,21.825042963027954
56.0,cudasdk_simpleCUBLAS,1538507495.351048,1538507496.686875,1.335827112197876
57.0,poly_3dconv,1538507495.595918,1538507497.951724,2.3558061122894287
58.0,cudasdk_stereoDisparity,1538507496.690092,1538507527.373102,30.68300986289978
59.0,parboil_lbm,1538507497.954352,1538507501.583856,3.6295042037963867
60.0,cudasdk_matrixMul,1538507501.58683,1538507502.078579,0.4917490482330322
61.0,lonestar_dmr,1538507502.082267,1538507509.812144,7.72987699508667
62.0,poly_gesummv,1538507509.814697,1538507510.870126,1.0554289817810059
63.0,poly_2dconv,1538507510.872997,1538507512.855466,1.982468843460083
64.0,shoc_lev1GEMM,1538507512.859002,1538507513.640467,0.7814648151397705
65.0,rodinia_pathfinder,1538507513.643387,1538507514.404906,0.7615189552307129
66.0,cudasdk_MCEstimatePiP,1538507514.408652,1538507514.890583,0.4819309711456299
67.0,parboil_bfs,1538507514.893717,1538507515.673536,0.7798190116882324
68.0,shoc_lev1sort,1538507515.676568,1538507516.257365,0.5807969570159912
69.0,cudasdk_radixSortThrust,1538507516.26192,1538507519.620544,3.35862398147583
70.0,cudasdk_dxtc,1538507519.623187,1538507520.088055,0.46486783027648926
71.0,cudasdk_boxFilterNPP,1538507520.091801,1538507520.58654,0.4947390556335449
72.0,cudasdk_concurrentKernels,1538507520.58955,1538507521.063036,0.47348594665527344
73.0,cudasdk_lineOfSight,1538507521.067372,1538507521.617896,0.5505239963531494
74.0,shoc_lev1BFS,1538507521.633335,1538507522.149877,0.5165419578552246
75.0,cudasdk_eigenvalues,1538507522.152823,1538507523.608951,1.4561281204223633
76.0,rodinia_lud,1538507523.612185,1538507524.073401,0.4612159729003906
77.0,rodinia_b+tree,1538507524.076205,1538507526.047183,1.970978021621704
78.0,cudasdk_threadFenceReduction,1538507524.30858,1538507524.813891,0.5053110122680664
