jobID,appName,start,end,duration (s)
0.0,rodinia_dwt2d,1537549426.789884,1537549432.890841,6.100956916809082
1.0,poly_3mm,1537549426.790825,1537549435.538139,8.747314214706421
2.0,shoc_lev1md5hash,1537549426.792553,1537549432.631674,5.839121103286743
3.0,cudasdk_interval,1537549426.79496,1537549434.695719,7.900758981704712
4.0,cudasdk_concurrentKernels,1537549426.796123,1537549432.658167,5.862043857574463
5.0,cudasdk_c++11Cuda,1537549426.800574,1537549433.006695,6.20612096786499
6.0,parboil_bfs,1537549426.801803,1537549433.171469,6.369665861129761
7.0,shoc_lev1BFS,1537549426.801387,1537549433.595973,6.794585943222046
8.0,cudasdk_simpleCUFFTcallback,1537549426.803525,1537549433.740437,6.9369120597839355
9.0,cudasdk_binomialOptions,1537549426.806696,1537549467.238708,40.43201208114624
10.0,rodinia_gaussian,1537549426.807357,1537549433.007144,6.199786901473999
11.0,rodinia_lavaMD,1537549426.811602,1537549433.099131,6.287528991699219
12.0,rodinia_needle,1537549426.812383,1537549433.138454,6.32607102394104
13.0,poly_syr2k,1537549426.81498,1537549508.865266,82.0502860546112
14.0,cudasdk_dwtHaar1D,1537549432.636008,1537549436.531418,3.8954100608825684
15.0,cudasdk_threadFenceReduction,1537549432.681596,1537549436.621072,3.9394760131835938
16.0,cudasdk_eigenvalues,1537549432.899286,1537549437.91254,5.013253927230835
17.0,parboil_sgemm,1537549433.025516,1537549437.295278,4.26976203918457
18.0,cudasdk_stereoDisparity,1537549433.026358,1537549475.063943,42.03758502006531
19.0,parboil_stencil,1537549433.103467,1537549437.405604,4.3021368980407715
20.0,parboil_cutcp,1537549433.141753,1537549437.473582,4.331829071044922
21.0,cudasdk_MCEstimatePiInlineQ,1537549433.175069,1537549437.494561,4.319491863250732
22.0,cudasdk_scalarProd,1537549433.599308,1537549437.980491,4.381182909011841
23.0,cudasdk_boxFilterNPP,1537549433.74386,1537549438.173845,4.429985046386719
24.0,rodinia_hotspot,1537549434.699691,1537549439.416892,4.717200994491577
25.0,poly_gemm,1537549435.541498,1537549441.24044,5.698941946029663
26.0,lonestar_mst,1537549436.560452,1537549440.765637,4.2051849365234375
27.0,lonestar_dmr,1537549436.624005,1537549449.956952,13.332947015762329
28.0,cudasdk_dxtc,1537549437.300101,1537549441.948404,4.648303031921387
29.0,cudasdk_lineOfSight,1537549437.409401,1537549442.060271,4.650870084762573
30.0,rodinia_lud,1537549437.477399,1537549441.973714,4.496315002441406
31.0,cudasdk_convolutionTexture,1537549437.498184,1537549443.334631,5.83644700050354
32.0,cudasdk_simpleCUBLAS,1537549437.915344,1537549443.357561,5.442217111587524
33.0,cudasdk_reduction,1537549437.983254,1537549445.381448,7.398194074630737
34.0,shoc_lev1reduction,1537549438.176669,1537549443.273143,5.0964741706848145
35.0,shoc_lev1GEMM,1537549439.420522,1537549444.193239,4.772716999053955
36.0,parboil_mriq,1537549440.769982,1537549444.892294,4.12231183052063
37.0,poly_syrk,1537549441.257603,1537549453.184089,11.926486015319824
38.0,cudasdk_quasirandomGenerator,1537549441.961461,1537549446.933013,4.971551895141602
39.0,parboil_lbm,1537549441.985873,1537549450.421744,8.435871124267578
40.0,cudasdk_scan,1537549442.06473,1537549449.968417,7.903687000274658
41.0,cudasdk_FDTD3d,1537549443.27624,1537549471.661883,28.385643005371094
42.0,cudasdk_vectorAdd,1537549443.337412,1537549446.85585,3.5184378623962402
43.0,rodinia_b+tree,1537549443.361832,1537549450.141118,6.77928614616394
44.0,cudasdk_batchCUBLAS,1537549444.209658,1537549448.713118,4.503460168838501
45.0,cudasdk_BlackScholes,1537549444.905536,1537549449.968544,5.063008069992065
46.0,rodinia_pathfinder,1537549445.384899,1537549448.523813,3.138914108276367
47.0,cudasdk_MCEstimatePiQ,1537549446.918948,1537549449.301714,2.382766008377075
48.0,cudasdk_SobolQRNG,1537549446.95666,1537549449.961016,3.0043559074401855
49.0,poly_3dconv,1537549448.55456,1537549453.454104,4.89954400062561
50.0,shoc_lev1fft,1537549448.733622,1537549452.217419,3.4837968349456787
51.0,cudasdk_matrixMul,1537549449.321683,1537549453.097069,3.775386095046997
52.0,cudasdk_MCEstimatePiInlineP,1537549449.973499,1537549453.546485,3.572985887527466
53.0,rodinia_hybridsort,1537549449.974233,1537549454.451579,4.477346181869507
54.0,poly_gesummv,1537549449.97746,1537549454.571906,4.594446182250977
55.0,rodinia_backprop,1537549449.978245,1537549453.604407,3.626162052154541
56.0,cudasdk_sortingNetworks,1537549450.155014,1537549462.339685,12.18467092514038
57.0,poly_atax,1537549450.425243,1537549454.740602,4.315359115600586
58.0,poly_bicg,1537549452.235634,1537549456.354655,4.119020938873291
59.0,poly_mvt,1537549453.111295,1537549457.939595,4.8282999992370605
60.0,poly_2dconv,1537549453.187591,1537549458.768852,5.581260919570923
61.0,lonestar_bh,1537549453.485673,1537549459.296317,5.810644149780273
62.0,cudasdk_convolutionSeparable,1537549453.569699,1537549460.886678,7.316978931427002
63.0,cudasdk_shflscan,1537549453.619885,1537549457.387861,3.7679760456085205
64.0,poly_fdtd2d,1537549454.454754,1537549499.351307,44.8965528011322
65.0,rodinia_heartwall,1537549454.575815,1537549458.830326,4.254511117935181
66.0,cudasdk_MCEstimatePiP,1537549454.745111,1537549458.368557,3.623445987701416
67.0,poly_covariance,1537549456.359251,1537549503.693217,47.33396601676941
68.0,cudasdk_transpose,1537549457.4136,1537549460.704337,3.2907369136810303
69.0,cudasdk_fastWalshTransform,1537549457.950759,1537549467.270897,9.320137977600098
