jobID,appName,start,end,duration (s)
0.0,rodinia_dwt2d,1537739059.14188,1537739063.959544,4.817663908004761
1.0,poly_syr2k,1537739059.142528,1537739142.111682,82.969153881073
2.0,cudasdk_concurrentKernels,1537739059.143979,1537739063.786955,4.6429760456085205
3.0,cudasdk_binomialOptions,1537739059.145464,1537739093.969957,34.824493169784546
4.0,cudasdk_simpleCUFFTcallback,1537739059.147098,1537739064.997239,5.8501410484313965
5.0,rodinia_gaussian,1537739059.148832,1537739063.786996,4.638163805007935
6.0,cudasdk_dwtHaar1D,1537739059.150564,1537739063.96249,4.8119261264801025
7.0,shoc_lev1BFS,1537739059.153216,1537739065.141884,5.988668203353882
8.0,shoc_lev1md5hash,1537739059.154097,1537739064.105787,4.951689958572388
9.0,cudasdk_eigenvalues,1537739059.155895,1537739066.659547,7.503652095794678
10.0,parboil_sgemm,1537739059.158768,1537739063.949933,4.791165113449097
11.0,rodinia_needle,1537739059.159983,1537739064.084179,4.924196004867554
12.0,rodinia_lud,1537739063.805468,1537739066.872971,3.067502975463867
13.0,shoc_lev1reduction,1537739063.792204,1537739067.39014,3.5979361534118652
14.0,cudasdk_lineOfSight,1537739063.95309,1537739067.443232,3.4901421070098877
15.0,cudasdk_vectorAdd,1537739063.965392,1537739067.236026,3.2706339359283447
16.0,lonestar_mst,1537739063.965393,1537739067.470934,3.5055408477783203
17.0,shoc_lev1fft,1537739064.08709,1537739067.702134,3.615043878555298
18.0,cudasdk_boxFilterNPP,1537739064.110101,1537739067.562029,3.451927900314331
19.0,parboil_cutcp,1537739065.000634,1537739068.567347,3.5667130947113037
20.0,parboil_mriq,1537739065.144654,1537739068.583426,3.438771963119507
21.0,cudasdk_MCEstimatePiQ,1537739066.66268,1537739070.168945,3.506265163421631
22.0,shoc_lev1GEMM,1537739066.876111,1537739070.891949,4.015837907791138
23.0,cudasdk_simpleCUBLAS,1537739067.238966,1537739071.597645,4.3586790561676025
24.0,cudasdk_dxtc,1537739067.392823,1537739071.041374,3.6485509872436523
25.0,poly_3dconv,1537739067.446076,1537739072.644717,5.198641061782837
26.0,cudasdk_matrixMul,1537739067.473465,1537739071.263482,3.7900171279907227
27.0,cudasdk_dct8x8,1537739067.564469,1537739071.714695,4.150225877761841
28.0,parboil_bfs,1537739067.705,1537739071.747572,4.042572021484375
29.0,cudasdk_interval,1537739068.569974,1537739074.075019,5.505044937133789
30.0,rodinia_hotspot,1537739068.586179,1537739072.587243,4.00106406211853
31.0,parboil_stencil,1537739070.173873,1537739073.539747,3.3658740520477295
32.0,cudasdk_quasirandomGenerator,1537739070.895083,1537739074.90824,4.01315712928772
33.0,cudasdk_c++11Cuda,1537739071.045758,1537739074.507298,3.4615399837493896
34.0,shoc_lev1sort,1537739071.267367,1537739074.770305,3.5029380321502686
35.0,cudasdk_stereoDisparity,1537739071.601095,1537739110.119925,38.51883006095886
36.0,cudasdk_MCEstimatePiP,1537739071.717821,1537739075.17882,3.460999011993408
37.0,cudasdk_batchCUBLAS,1537739071.750161,1537739075.760868,4.010707139968872
38.0,cudasdk_threadFenceReduction,1537739072.591145,1537739076.028292,3.4371469020843506
39.0,poly_gemm,1537739072.6477,1537739077.273112,4.6254119873046875
40.0,cudasdk_transpose,1537739073.542395,1537739077.202048,3.6596529483795166
41.0,poly_3mm,1537739074.077727,1537739081.059126,6.981398820877075
42.0,cudasdk_scalarProd,1537739074.50993,1537739077.920388,3.4104580879211426
43.0,rodinia_pathfinder,1537739074.773266,1537739078.39436,3.621093988418579
44.0,cudasdk_SobolQRNG,1537739074.91115,1537739078.373036,3.461885929107666
45.0,rodinia_lavaMD,1537739075.181706,1537739078.460478,3.2787721157073975
46.0,cudasdk_sortingNetworks,1537739075.763515,1537739086.142053,10.378537893295288
47.0,cudasdk_shflscan,1537739076.031223,1537739079.172373,3.1411499977111816
48.0,cudasdk_radixSortThrust,1537739077.205045,1537739085.716101,8.511055946350098
