timestamp, utilization.gpu [%]
2018/10/11 09:51:12.925, 0 %
2018/10/11 09:51:12.926, 0 %
2018/10/11 09:51:12.926, 0 %
2018/10/11 09:51:12.927, 100 %
2018/10/11 09:51:12.928, 0 %
2018/10/11 09:51:12.928, 0 %
2018/10/11 09:51:12.929, 0 %
2018/10/11 09:51:12.929, 0 %
2018/10/11 09:51:12.930, 0 %
2018/10/11 09:51:13.931, 0 %
2018/10/11 09:51:13.932, 0 %
2018/10/11 09:51:13.933, 0 %
2018/10/11 09:51:13.933, 0 %
2018/10/11 09:51:13.933, 0 %
2018/10/11 09:51:13.934, 0 %
2018/10/11 09:51:13.934, 68 %
2018/10/11 09:51:13.936, 0 %
2018/10/11 09:51:13.937, 0 %
2018/10/11 09:51:13.937, 0 %
2018/10/11 09:51:13.938, 0 %
2018/10/11 09:51:13.938, 0 %
2018/10/11 09:51:14.938, 0 %
2018/10/11 09:51:14.939, 0 %
2018/10/11 09:51:14.940, 0 %
2018/10/11 09:51:14.941, 0 %
2018/10/11 09:51:14.941, 0 %
2018/10/11 09:51:14.942, 0 %
2018/10/11 09:51:14.943, 3 %
2018/10/11 09:51:14.943, 0 %
2018/10/11 09:51:14.944, 0 %
2018/10/11 09:51:14.958, 0 %
2018/10/11 09:51:14.960, 0 %
2018/10/11 09:51:14.963, 0 %
2018/10/11 09:51:15.964, 0 %
2018/10/11 09:51:15.964, 0 %
2018/10/11 09:51:15.965, 0 %
2018/10/11 09:51:15.966, 0 %
2018/10/11 09:51:15.968, 0 %
2018/10/11 09:51:15.969, 0 %
2018/10/11 09:51:15.970, 0 %
2018/10/11 09:51:15.972, 0 %
2018/10/11 09:51:15.975, 0 %
2018/10/11 09:51:15.975, 0 %
2018/10/11 09:51:15.976, 0 %
2018/10/11 09:51:15.977, 0 %
2018/10/11 09:51:16.977, 0 %
2018/10/11 09:51:16.978, 0 %
2018/10/11 09:51:16.978, 0 %
2018/10/11 09:51:16.979, 0 %
2018/10/11 09:51:16.979, 0 %
2018/10/11 09:51:16.979, 0 %
2018/10/11 09:51:16.980, 0 %
2018/10/11 09:51:16.981, 0 %
2018/10/11 09:51:16.981, 0 %
2018/10/11 09:51:16.983, 0 %
2018/10/11 09:51:16.984, 0 %
2018/10/11 09:51:16.984, 0 %
2018/10/11 09:51:17.984, 0 %
2018/10/11 09:51:17.985, 0 %
2018/10/11 09:51:17.986, 0 %
2018/10/11 09:51:17.987, 0 %
2018/10/11 09:51:17.987, 0 %
2018/10/11 09:51:17.987, 0 %
2018/10/11 09:51:17.988, 92 %
2018/10/11 09:51:17.988, 0 %
2018/10/11 09:51:17.989, 0 %
2018/10/11 09:51:17.989, 0 %
2018/10/11 09:51:17.989, 0 %
2018/10/11 09:51:17.990, 0 %
2018/10/11 09:51:18.990, 0 %
2018/10/11 09:51:18.991, 0 %
2018/10/11 09:51:18.992, 0 %
2018/10/11 09:51:18.993, 0 %
2018/10/11 09:51:18.995, 0 %
2018/10/11 09:51:18.996, 0 %
2018/10/11 09:51:18.996, 77 %
2018/10/11 09:51:18.998, 0 %
2018/10/11 09:51:19.000, 0 %
2018/10/11 09:51:19.001, 0 %
2018/10/11 09:51:19.003, 0 %
2018/10/11 09:51:19.004, 0 %
2018/10/11 09:51:20.005, 0 %
2018/10/11 09:51:20.006, 0 %
2018/10/11 09:51:20.007, 0 %
2018/10/11 09:51:20.008, 0 %
2018/10/11 09:51:20.009, 0 %
2018/10/11 09:51:20.010, 0 %
2018/10/11 09:51:20.011, 2 %
2018/10/11 09:51:20.012, 0 %
2018/10/11 09:51:20.013, 0 %
2018/10/11 09:51:20.014, 0 %
2018/10/11 09:51:20.015, 0 %
2018/10/11 09:51:20.016, 0 %
2018/10/11 09:51:21.018, 0 %
2018/10/11 09:51:21.018, 0 %
2018/10/11 09:51:21.019, 0 %
2018/10/11 09:51:21.019, 0 %
2018/10/11 09:51:21.020, 0 %
2018/10/11 09:51:21.023, 0 %
2018/10/11 09:51:21.025, 100 %
2018/10/11 09:51:21.026, 0 %
2018/10/11 09:51:21.026, 0 %
2018/10/11 09:51:21.029, 0 %
2018/10/11 09:51:21.030, 0 %
2018/10/11 09:51:21.030, 0 %
2018/10/11 09:51:22.030, 0 %
2018/10/11 09:51:22.037, 0 %
2018/10/11 09:51:22.037, 0 %
2018/10/11 09:51:22.037, 0 %
2018/10/11 09:51:22.038, 0 %
2018/10/11 09:51:22.038, 0 %
2018/10/11 09:51:22.038, 100 %
2018/10/11 09:51:22.039, 0 %
2018/10/11 09:51:22.039, 0 %
2018/10/11 09:51:22.040, 0 %
2018/10/11 09:51:22.040, 0 %
2018/10/11 09:51:22.040, 0 %
2018/10/11 09:51:23.041, 0 %
2018/10/11 09:51:23.041, 0 %
2018/10/11 09:51:23.041, 0 %
2018/10/11 09:51:23.042, 0 %
2018/10/11 09:51:23.042, 0 %
2018/10/11 09:51:23.042, 0 %
2018/10/11 09:51:23.043, 100 %
2018/10/11 09:51:23.043, 0 %
2018/10/11 09:51:23.044, 0 %
2018/10/11 09:51:23.044, 0 %
2018/10/11 09:51:23.044, 0 %
2018/10/11 09:51:23.045, 0 %
2018/10/11 09:51:24.045, 0 %
2018/10/11 09:51:24.045, 0 %
2018/10/11 09:51:24.046, 0 %
2018/10/11 09:51:24.046, 0 %
2018/10/11 09:51:24.047, 0 %
2018/10/11 09:51:24.047, 0 %
2018/10/11 09:51:24.048, 100 %
2018/10/11 09:51:24.048, 0 %
2018/10/11 09:51:24.049, 0 %
2018/10/11 09:51:24.049, 0 %
2018/10/11 09:51:24.049, 0 %
2018/10/11 09:51:24.050, 0 %
2018/10/11 09:51:25.050, 0 %
2018/10/11 09:51:25.066, 0 %
2018/10/11 09:51:25.067, 0 %
2018/10/11 09:51:25.067, 0 %
2018/10/11 09:51:25.068, 0 %
2018/10/11 09:51:25.069, 0 %
2018/10/11 09:51:25.070, 35 %
2018/10/11 09:51:25.070, 0 %
2018/10/11 09:51:25.071, 0 %
2018/10/11 09:51:25.071, 0 %
2018/10/11 09:51:25.072, 0 %
2018/10/11 09:51:25.072, 0 %
2018/10/11 09:51:26.072, 0 %
2018/10/11 09:51:26.073, 0 %
2018/10/11 09:51:26.073, 0 %
2018/10/11 09:51:26.074, 0 %
2018/10/11 09:51:26.074, 0 %
2018/10/11 09:51:26.074, 0 %
